"GEOID","county_name","traffic_fatality_rate_per_100k"
"01069","Houston",9.04196374960719
"01023","Choctaw",5.78723847300716
"01005","Barbour",10.1046542661346
"01107","Pickens",6.7308582155237
"01033","Colbert",9.99194701474467
"04012","La Paz",9.30636230120068
"04001","Apache",7.31409614862704
"05081","Little River",9.38234121907952
"05121","Randolph",10.6025792791421
"06037","Los Angeles",6.54415943712798
"06097","Sonoma",11.3509107546446
"06001","Alameda",11.9419680079685
"06045","Mendocino",9.15808358963158
"06015","Del Norte",8.40945437471922
"08077","Mesa",8.74483980393812
"08083","Montezuma",6.81439814504711
"08067","La Plata",9.75343200031505
"06055","Napa",8.00579303128412
"10005","Sussex",10.1249251200931
"12086","Miami-Dade",8.94374822983808
"12071","Lee",6.13478276730423
"12037","Franklin",6.32395827701829
"12033","Escambia",9.07195922578308
"17031","Cook",11.1900614656578
"17017","Cass",7.81761532261056
"17109","McDonough",10.5294474720745
"13245","Richmond",6.86662096043848
"17041","Douglas",7.14995454642432
"13103","Effingham",6.56106536881664
"16027","Canyon",8.73106037904959
"26103","Marquette",7.67631149715203
"18061","Harrison",6.41825910808009
"19177","Van Buren",7.61706426414136
"19045","Clinton",7.99827189954647
"19163","Scott",8.53272228958147
"18161","Union",10.232273196537
"26107","Mecosta",9.35697241999116
"26063","Huron",7.9568297274549
"36067","Onondaga",10.2850055037843
"20175","Seward",8.3882337984108
"36071","Orange",8.10358119627393
"08031","Denver",7.95961747016951
"36017","Chenango",8.85346570609636
"21101","Henderson",9.08494676162996
"21195","Pike",7.91581298454396
"08019","Clear Creek",6.32693836938096
"08055","Huerfano",9.29185950737131
"21093","Hardin",7.54704619727998
"21127","Lawrence",8.9169850804453
"26099","Macomb",10.1683070126318
"21135","Lewis",9.29052852063572
"22051","Jefferson",8.02291753297282
"22111","Union",7.90279963129314
"22067","Morehouse",8.23414375979151
"08091","Ouray",9.76957211187786
"23013","Knox",9.49979570867563
"23015","Lincoln",9.52810327650923
"02170","Matanuska-Susitna",6.67064603457199
"02290","Yukon-Koyukuk",11.0829527185164
"24005","Baltimore",6.73919676164575
"24047","Worcester",12.5772705213666
"24031","Montgomery",7.79844229535125
"01051","Elmore",8.86974374947049
"01009","Blount",4.74651724996398
"25001","Barnstable",7.78778250318241
"25013","Hampden",11.7278499500529
"26041","Delta",7.44283060043494
"01025","Clarke",12.483237991025
"01055","Etowah",10.7891158344371
